##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	subsampled_R2.fastq.gz
1108	1	-0.3796151437613915
1108	2	-0.20268487772968058
1108	3	-0.5155212233453241
1108	4	-0.17594912050946476
1108	5	-0.08085443076234355
1108	6	-0.14162644646506095
1108	7	0.17471859491228514
1108	8	-0.23146548555724422
1108	9	-0.02495083412553356
1108	10-14	-0.018274727100447308
1108	15-19	-0.10259273848603101
1108	20-24	-0.17569699816832696
1108	25-29	-0.1628219483336224
1108	30-34	0.17033597770573294
1108	35-39	-0.08269257084994308
1108	40-44	-0.043966013019769434
1108	45-49	-0.27715698241592435
1108	50-54	0.12746775880579264
1108	55-59	-0.27413079162192133
1108	60-64	-0.08047282418057478
1108	65-69	0.024336393604194484
1108	70-74	-0.10278327986072355
1108	75-79	0.037680395070601946
1108	80-84	-0.013722280917711771
1108	85-89	-0.0388329218757093
1108	90-94	0.28561485286843435
1108	95-99	0.06191651739870707
1108	100-104	-0.06975537743233673
1108	105-109	0.20206177364241995
1108	110-114	0.15402359861840864
1108	115-119	0.27016883721289986
1108	120-124	0.06509933985828553
1108	125-129	-0.07637909802541998
1108	130-134	0.07608090408199786
1108	135-139	0.5116962370362117
1108	140-144	0.21799504909424883
1108	145-149	0.055213270373954515
1108	150	0.19121290846273808
1109	1	-0.4116209895779832
1109	2	0.19585366812344773
1109	3	0.05744187493746722
1109	4	-0.36549972335929937
1109	5	-0.17095307891725753
1109	6	0.2772263120296401
1109	7	-0.012420608595206772
1109	8	0.1772301666166669
1109	9	-0.2785131286085445
1109	10-14	0.05343882788676524
1109	15-19	-0.07346595733878303
1109	20-24	-0.2529786934551481
1109	25-29	-0.0397675091666585
1109	30-34	-0.3923238688415793
1109	35-39	-0.19482994753975902
1109	40-44	-0.27952319241326506
1109	45-49	-0.21650663532056313
1109	50-54	-0.4393133884357212
1109	55-59	-0.1627241420055512
1109	60-64	-0.22844505655177727
1109	65-69	-0.2836796823914227
1109	70-74	-0.24093454036493256
1109	75-79	-0.46491368604009864
1109	80-84	-0.3148402933400689
1109	85-89	-0.36993997339197193
1109	90-94	-0.2586306714282429
1109	95-99	-0.24716642012412393
1109	100-104	-0.16510064597453322
1109	105-109	-0.3048143681186346
1109	110-114	-0.3076643809212314
1109	115-119	-0.16977270462122362
1109	120-124	-0.06529159912601301
1109	125-129	-0.05444267128080327
1109	130-134	0.01863114156829937
1109	135-139	-0.22769725949282815
1109	140-144	0.08064758837083019
1109	145-149	-0.2134020018218763
1109	150	-0.6879979062979444
1110	1	0.2473039783178166
1110	2	0.5270956420731778
1110	3	-0.13272506690806551
1110	4	0.2588627789338602
1110	5	0.295346682594392
1110	6	0.24251708436499086
1110	7	0.18049812191296155
1110	8	0.025918480687479928
1110	9	0.4442900267757892
1110	10-14	0.4408466429665623
1110	15-19	0.24629922336199428
1110	20-24	0.13897874554687206
1110	25-29	0.11792832645983253
1110	30-34	0.05397956172161855
1110	35-39	0.13893633387650794
1110	40-44	0.12534930804537225
1110	45-49	0.17787971580766282
1110	50-54	0.2194721555011725
1110	55-59	0.28853984625348517
1110	60-64	0.15199889868578964
1110	65-69	-0.22568665358937068
1110	70-74	0.24902326554224175
1110	75-79	0.40666950970379645
1110	80-84	0.0358256395162897
1110	85-89	0.12353278390026645
1110	90-94	0.06094371859194325
1110	95-99	-0.0053245562459380835
1110	100-104	-0.050097894185874736
1110	105-109	0.47749346530643066
1110	110-114	0.17755301038311444
1110	115-119	-0.15851605446529504
1110	120-124	0.22607512257642526
1110	125-129	0.2032861858096382
1110	130-134	0.24316242023275692
1110	135-139	0.058921709503685804
1110	140-144	0.4388864436267568
1110	145-149	0.42178420254429483
1110	150	-0.28253101948818937
1111	1	-0.13903891326919648
1111	2	0.28422988817668227
1111	3	-0.2994347887714923
1111	4	-0.3528999008215905
1111	5	-0.36704890855346406
1111	6	-0.3918065184938726
1111	7	-0.12564154914533532
1111	8	0.20526920832030982
1111	9	-0.12483078610632958
1111	10-14	-0.015345555431778735
1111	15-19	0.034502099449142065
1111	20-24	-0.05670540152967618
1111	25-29	0.09119966030983306
1111	30-34	0.246398402675716
1111	35-39	-0.156498093058822
1111	40-44	-0.07047261566082597
1111	45-49	0.009757783490442762
1111	50-54	-0.27022731922542675
1111	55-59	-0.36666380482720484
1111	60-64	-0.27341400065115806
1111	65-69	-0.14958917662389837
1111	70-74	-0.09073045873228125
1111	75-79	-0.05355609952724194
1111	80-84	0.04586955581699215
1111	85-89	-0.417464374456749
1111	90-94	-0.2958977521735804
1111	95-99	-0.2076633145340665
1111	100-104	-0.20776258031348505
1111	105-109	0.04964880845634667
1111	110-114	-0.20448780594341542
1111	115-119	-0.04171591668865915
1111	120-124	-0.3122836133229896
1111	125-129	-0.44766361183093295
1111	130-134	-0.4438710767103231
1111	135-139	-0.388904003059821
1111	140-144	-0.39122463878089775
1111	145-149	-0.04332214379171262
1111	150	-1.0498435141062856
1112	1	-0.4513825604054702
1112	2	-0.39453903874892404
1112	3	0.011789701024426336
1112	4	0.039759743681372584
1112	5	-0.04696990921178923
1112	6	-0.2562238983490417
1112	7	0.09529327639778273
1112	8	0.3088570950879159
1112	9	-0.03342196451317392
1112	10-14	0.03931540572687453
1112	15-19	-0.2996651158240624
1112	20-24	-0.1490095489951102
1112	25-29	-0.02966933244856307
1112	30-34	-0.006419240510588509
1112	35-39	-0.24583976521155648
1112	40-44	0.10249644293035232
1112	45-49	0.08882295794732187
1112	50-54	-0.12918716122674567
1112	55-59	-0.070620355189277
1112	60-64	-0.06981953060508062
1112	65-69	-0.19600787313476076
1112	70-74	-0.014805508106860543
1112	75-79	-0.2949978375127529
1112	80-84	-0.09206329474259434
1112	85-89	-0.28079551336392683
1112	90-94	-0.10764890424731277
1112	95-99	-0.0245296739810712
1112	100-104	-0.22535310039248913
1112	105-109	0.007008913788801863
1112	110-114	0.06142397812504896
1112	115-119	-0.24441506086245823
1112	120-124	-0.18777406756920811
1112	125-129	0.010690568550884905
1112	130-134	0.09872931828638087
1112	135-139	-0.05332138291499433
1112	140-144	-0.20100739059130035
1112	145-149	-0.17532346044740876
1112	150	0.04110447799377681
1113	1	-0.6125083010242989
1113	2	0.12912784736035832
1113	3	-0.3647409112204727
1113	4	-0.18963459469914312
1113	5	-0.211946867737133
1113	6	0.1551322570163265
1113	7	-0.5256415491453339
1113	8	-0.1539144651490787
1113	9	0.10374064246509818
1113	10-14	-0.08881494318688254
1113	15-19	-0.00794688014268985
1113	20-24	-0.16446050357048847
